time,T_core0,T_core1,T_core2,IPC_core0,IPC_core1,IPC_core2,F_core0,F_core1,F_core2,P_core0,P_core1,P_core2,Energy_Per_Instruction_core0,Energy_Per_Instruction_core1,Energy_Per_Instruction_core2,Cdyn_core0,Cdyn_core1,Cdyn_core2
70021062777000,71.99845873115868,68.63911600606248,92.39246358765222,0.0,0.0,2.152717416856199,4.0,1.0,1.3,0.11399171240970274,0.025088058653589672,1.228463192833214,2.8497928102561755e-07,2.5088058653531237e-07,4.4494710720862086e-10,0.0,0.0,1.1393078722345156e-09
70023063601750,71.98473334204306,68.62354164372614,92.38703115492463,0.0001471711243487108,0.0,2.1574222485078653,4.0,2.5,1.3,0.11449199139515122,0.05981938858367644,1.2239662231310777,2.8415809861295037e-07,2.6302217813944475e-07,4.4237079384826103e-10,9.044175210899124e-14,0.0,1.1348652628515753e-09
70025063601750,71.97115415494174,68.61258713782291,92.38156625811034,0.0,0.0,2.1528749605826065,4.0,4.0,1.3,0.11395061981552075,0.1094432586368678,1.2178253492637316,2.848765495381376e-07,2.73608146591532e-07,4.409868168808745e-10,0.0,0.0,1.1287898591625268e-09
70027063601750,71.95745081440066,68.60047259746483,92.37599225681389,0.0,0.0,2.151510473919513,4.0,4.0,1.3,0.1139300258447171,0.10942881753165311,1.212246688274903,2.8482506461112964e-07,2.7357204382849476e-07,4.392960386956796e-10,0.0,0.0,1.123273394234071e-09
70029063602750,71.94374929631613,68.58836382430086,92.37060022033222,0.00014735740258021895,0.0,2.1447652255737015,4.0,4.0,1.3,0.11443101892717368,0.1094143953589239,1.2310491790207274,2.8388377247903244e-07,2.7353598839861604e-07,4.4767253216109007e-10,9.054937275187438e-14,0.0,1.1419745133083022e-09
70031063602749,71.93019051509644,68.57626081582609,92.36511434539729,0.0,0.0,2.155628515655839,4.0,4.0,1.3,0.11388911574436883,0.10939999208841583,1.2156302803506094,2.8472278936228206e-07,2.7349998022040193e-07,4.397707988834221e-10,0.0,0.0,1.1266830804804173e-09
70033063602750,71.91650642234649,68.56416356953689,92.35977680473906,0.0,0.0,2.147178638165268,4.0,4.0,1.3,0.11386860873124098,0.10938560768992059,1.241990246415758,2.846715218274384e-07,2.734640192241642e-07,4.509391911505107e-10,0.0,0.0,1.1528909676204497e-09
70035063602750,71.90282429406075,68.55207208292951,92.35451590424744,0.00014735740258021895,0.0,2.150192308721499,4.0,4.0,1.3,0.11436968886444254,0.10937124213328539,1.215939807650191,2.837307814800347e-07,2.7342810533451855e-07,4.4077689436039306e-10,9.054937275187438e-14,0.0,1.1270379372426362e-09
70037063602749,71.88928460180037,68.53998635350166,92.34889371420117,0.0,0.0,2.1566257746027793,4.0,4.0,1.3,0.11382787157445845,0.10935689538841396,1.2105212773761005,2.845696789375048e-07,2.733922384703979e-07,4.3773385801556375e-10,0.0,0.0,1.121680701766298e-09
70039063602750,71.87561973317773,68.52975084304403,92.34324486521271,0.0,0.0,2.1523277869151083,4.0,1.0,1.3,0.11380745107554638,0.08259939844145203,1.210068412734121,2.8451862768820273e-07,2.654656708859341e-07,4.3836077789289567e-10,0.0,0.0,1.1212560972853865e-09
70041063602750,71.86195696554559,68.51506235400127,92.33761108075535,0.00014735740258021895,0.0005941848422400137,2.1564744123797115,4.0,1.0,1.3,0.11430861780739852,0.025260873450835178,1.2117789540428676,2.8357858238667323e-07,2.4646441952431677e-07,4.382194084003904e-10,9.054937275187438e-14,3.628923974475857e-13,1.1229803798091058e-09
70043063602749,71.84843633722691,68.50021602396225,92.33197946407938,0.0,0.0,2.152077300045841,4.0,1.0,1.3,0.11376688597001927,0.024966944056326313,1.211100628271101,2.8441721492640645e-07,2.496694405644555e-07,4.3875578009294197e-10,0.0,0.0,1.1223317225981474e-09
70045063602750,71.83479066907991,68.48646858928478,92.32636319127381,0.0,0.0,2.1563882484835064,4.0,1.0,1.3,0.11374655154447141,0.024955019913415474,1.2121666694000812,2.8436637886051585e-07,2.4955019913357306e-07,4.3836497339448886e-10,0.0,0.0,1.1234157092810299e-09
70047066086250,71.82113748049247,68.47272778834635,92.32072904067088,0.00014382772376941703,0.0,2.15168694558376,4.0,1.0,1.3,0.11423713243395005,0.024943112821829486,1.2092725036576781,2.83428173624685e-07,2.4943112821771393e-07,4.381778756660277e-10,8.869911517886166e-14,0.0,1.1205659945911644e-09
70049066086249,71.80762710800302,68.45899361817168,92.31512609031454,0.0,0.0,2.1557616199404155,4.0,1.0,1.3,0.11370613004659179,0.024931222751939354,1.2154605736384456,2.842653251158166e-07,2.4931222752058405e-07,4.3967378284519476e-10,0.0,0.0,1.1267377418377789e-09
70051066086250,71.79400062540762,68.44526607578601,92.30954953967229,0.0,0.0,2.1555505261207277,4.0,1.0,1.3,0.11368588129498881,0.02491934967417555,1.2141246594385728,2.8421470323681e-07,2.4919349674117437e-07,4.3927166364941517e-10,0.0,0.0,1.1254356006520758e-09
70053066086499,71.78037497058446,68.42981434173551,92.30396575418759,0.00014404342202151005,0.0,2.1513433243052966,4.0,2.5,1.3,0.11417738304531277,0.05945353724573024,1.2118235957334513,2.8327848754194115e-07,2.617496766252933e-07,4.391667112226451e-10,8.8841976050933e-14,0.0,1.1231747754551628e-09
70055066086500,71.7668923683956,68.41893851564578,92.29840164082376,0.0,0.0,2.151336183319961,4.0,4.0,1.3,0.113645655392797,0.10921385982475336,1.2119183380283318,2.841141384813307e-07,2.73034649561247e-07,4.3918916817718937e-10,0.0,0.0,1.1232936667153836e-09
70057066086500,71.75328503973546,68.40691619154326,92.29292146170285,0.0,0.0,2.1446758680141627,4.0,4.0,1.3,0.11362549184368227,0.10919971881687378,1.2283109163276387,2.8406372960854356e-07,2.729992970415484e-07,4.464546289859709e-10,0.0,0.0,1.139601222836708e-09
70059068585500,71.73967005556761,68.39489959453425,92.28808419919032,0.00014370375594916705,0.0,2.1369600114005705,4.0,4.0,1.3,0.11411595727147952,0.10918559626267248,1.2576986485827362,2.8312926852219895e-07,2.729639906579846e-07,4.590676426446927e-10,8.86494654467887e-14,0.0,1.1688143199959491e-09
70061068585499,71.7261980129394,68.38288872212381,92.28285506561942,0.0,0.0,2.1435947154121204,4.0,4.0,1.3,0.11358541017838024,0.10917149213276964,1.236073406420987,2.839635254473071e-07,2.7292873033128813e-07,4.5073719650868686e-10,0.0,0.0,1.1473566904342522e-09
